Particle Destroy,Particle Create,Particle Update,
491286,813186,1172234,
107337,818921,2401300,
73963,817515,3596548,
74111,809967,4686346,
80808,813630,5918594,
90058,814111,7103741,
102638,795241,8263284,
106930,789876,9402810,
115329,783253,10565942,
124283,789987,11746612,
133311,785806,13137146,
141784,787952,14025257,
148666,769045,15256506,
157694,780219,16439544,
168091,792022,17695879,
174233,811188,18726366,
185111,788026,19982294,
200614,810966,21136546,
200651,804861,22212432,
209642,798090,23639744,
219928,782735,24497515,
228401,791985,26151193,
240648,790579,26911136,
245754,793317,28176832,
257483,792355,29050735,
262441,784474,30480156,
292485,774188,31383178,
298553,773818,32837204,
285492,777962,33503389,
309024,810004,34994193,
302771,783216,36061273,
322825,781218,37051726,
335553,812742,38410625,
329374,773892,39486955,
364931,789506,40751023,
354386,791504,41880300,
355829,773670,43044505,
361860,771487,44216258,
369519,770747,45237051,
380989,784844,46500934,
388759,774410,47813398,
417323,777074,49000432,
407296,777555,49990700,
460243,787878,50995990,
448366,817330,52112946,
446553,780996,53348487,
439486,778739,53996875,
681022,1155880,56211140,
616568,803862,56214322,
483220,780441,57553648,
478225,771746,58413676,
487142,782254,59462885,
513005,910459,61024063,
512672,790912,62167918,
511784,776926,63094546,
791356,1167424,65155335,
548340,786028,65880942,
542161,780589,66905657,
551374,788100,68438604,
561401,779997,69498580,
576497,791652,71788436,
604062,807932,72123841,
598031,783142,73462057,
609353,792910,73989862,
606985,788137,74929847,
949013,1189402,76205200,
628815,780996,77399745,
633810,791948,79187252,
642135,779220,80324780,
658526,786657,80420943,
657083,786657,82212446,
682354,794945,83228651,
678395,787989,84834599,
711066,820253,85722525,
703592,788100,86581369,
716061,788914,88135776,
720982,785880,89300129,
724608,784252,89667021,
728345,802567,90867116,
772264,819106,91973897,
737447,778369,93393106,
754430,782291,94275112,
827764,836866,96113235,
774928,776112,96782269,
792059,783882,97750263,
1221407,1169533,99917908,
799940,780626,100377448,
817145,782180,100655096,
813260,808672,102371637,
862285,782883,103121923,
843785,803233,104824737,
851407,787878,105078520,
1271875,1168645,107284164,
872682,787730,108305586,
876271,800939,109426760,
914566,785658,110276243,
912309,777592,111816590,
903466,806489,112999258,
904132,787989,113293001,
968142,786213,114360932,
959965,801050,115858914,
954452,798497,116862465,
957486,812039,118173967,
944906,798164,119660627,
1064712,816960,120615079,
995152,786176,121059523,
975209,802382,123072323,
1045990,814333,123542112,
1500942,1198652,126618107,
1038590,786842,126668871,
1041217,806933,127840217,
1097050,805379,129018445,
1053501,804047,130339160,
1052243,786324,130947477,
1089909,831538,132510838,
1117955,781958,133195708,
1085728,784178,133818159,
1074147,802382,136019215,
1157101,793206,136717664,
1743403,1170976,137196962,
1108668,805823,139239029,
1138897,817774,140511274,
1157952,788840,141224560,
1196506,795648,143498765,
1209234,801975,143476898,
1192695,801938,144439120,
1175860,787730,145734564,
1180115,781181,146416252,
1182113,783845,148893328,
1232137,799459,149125910,
1238982,789395,150814775,
1243459,778147,151876564,
1276796,790024,153177965,
1252117,785510,153983418,
1255706,785288,155016717,
1301845,814407,156256069,
1285084,787249,157605126,
1282124,800902,158565461,
1332037,823065,162397329,
1409589,817774,160961396,
1407554,800643,162212847,
1351795,785732,163218655,
1377436,791023,166052485,
1454766,795056,165426001,
1429088,788877,166685444,
1365818,786250,167679227,
1375216,776963,169157488,
1408775,793391,170362652,
1387389,795241,171920722,
1415731,791282,172265266,
1396306,774891,174031683,
1427497,798460,174845165,
1445405,799274,175995051,
1504864,794612,177157554,
1462388,794057,178355873,
1606540,822103,179504168,
1501164,789802,180826400,
1561844,815665,181577500,
1543714,796721,182956601,
1529876,803973,183742148,
1521884,791874,185312317,
1589039,799200,186220852,
1566469,813260,188054942,
1623042,793058,189065893,
1619194,804491,189585891,
1585709,790061,192599911,
1632477,797794,192035069,
1624485,807895,192639723,
1598363,791689,194506817,
1704183,808450,195541855,
1743588,811188,196606789,
1671623,802937,197984558,
1670032,786139,198952478,
1666924,805897,200876034,
1795980,808376,200487534,
1704812,796351,202625690,
1787285,836977,203685814,
1762791,793243,204723886,
1763235,795241,210036124,
1877861,784992,207005639,
1792465,798904,209492372,
1816256,789284,209309259,
1855957,799681,210611659,
1869055,791652,211453076,
2010173,827764,212770054,
1895917,792429,213140128,
1815479,785140,215075154,
1821214,803677,215759987,
1811927,793909,217323607,
1857696,797979,218401269,
1891070,798941,219292081,
1881450,796684,220178342,
1892846,823694,222045732,
1991007,799977,223313907,
1981831,795907,223585228,
1996076,811891,225450398,
1976984,802234,226766007,
1986049,783919,235274526,
2306950,803307,228760529,
2012245,812261,229728597,
2035333,817145,230719309,
2016759,803122,233055748,
2078808,802049,232736586,
2026120,800347,233830158,
2028932,809486,235564607,
2923629,1185702,235607601,
2133457,783216,238055706,
2101526,786842,239167482,
2113699,799829,240861823,
2201315,798312,241020072,
2236428,801198,242124152,
2149552,799940,245212912,
2188180,801124,245510156,
2444923,788285,245943625,
2173047,784696,246962827,
2168903,792059,248151711,
2196320,800014,252194664,
2297478,800754,250771755,
2284787,801790,251989203,
2243088,798386,256387948,
2319234,793650,254079148,
2292964,813112,255447445,
2325376,804602,255254527,
2358528,791356,257360789,
2321343,801679,258663707,
2456430,795870,259799644,
2397082,805231,261105374,
2369036,795426,262292519,
2429827,825359,263261808,
2417617,808450,263627590,
2491913,796018,266015200,
2421169,806415,267437702,
2444072,790431,268329069,
2647461,810448,269612710,
2463312,793613,270967650,
2543269,795685,270977048,
2487880,832056,272107028,
2537719,811040,273953772,
2530578,825137,275020297,
2643465,804861,276363878,
3446920,1193990,277181393,
2600915,796425,279694914,
2649718,793317,279665869,
2613606,833462,281438206,
2675396,819180,283898595,
2691639,830650,282719664,
2623004,814370,284313809,
2789985,818329,286765651,
2785138,825803,286127290,
2712988,815258,287492442,
3605465,1193213,289272438,
2724976,802863,289476049,
2720277,805564,290856704,
2733338,799607,292684689,
2740442,801087,292345954,
3019348,832907,292529141,
2778441,798201,295104563,
2783732,804232,297394345,
2785545,803455,298039255,
2706513,801938,299337733,
2885889,802234,305814361,
2697966,813704,301371216,
2897581,807414,306055638,
2840231,780219,305072955,
2891883,809449,304870713,
3025490,803196,309545478,
3021013,842749,306632061,
2946051,813519,308179512,
2952933,821363,313775947,
2781438,835164,315055703,
3017498,819291,313887687,
3941832,947570,314828005,
3037256,811595,316787969,
3045914,843267,319504435,
3078881,819772,317995316,
3005177,793613,319265896,
3019644,805601,320139651,
3092719,825655,321747005,
3750579,815887,321239476,
3027747,806637,324307257,
3121135,810078,325126215,
3138599,838827,325586791,
2999479,796610,327616019,
3187180,841750,327563479,
3136564,805083,329837240,
3161391,826765,328984908,
3146073,801272,331467904,
3214338,821067,331013877,
3304988,835275,333539275,
3248933,812853,333642431,
3301991,812964,336384353,
3264621,814481,337794016,
3260625,813371,338381798,
3248896,812927,340310867,
3373993,837680,340949746,
3161317,819624,342284817,
3312684,803270,343017491,
4309501,1117844,343696071,
3326744,821178,345523390,
3278126,840973,346974086,
3358712,823324,349114462,
3356825,814259,350412903,
3414508,817774,348707795,
3350128,816294,351338310,
3402076,845191,352358955,
3464606,829466,354064766,
3258072,815517,354471285,
3350535,812113,355835586,
4485732,916601,355580471,
3144112,807932,357874212,
3501976,841639,357676336,
3552888,842564,360889934,
3428087,820290,361109381,
3475114,814555,362580575,
3380616,832500,362279136,
3542195,844081,364253419,
3531428,805046,366711921,
3369220,803973,367061978,
3489396,807525,367438120,
3505010,815369,368585823,
3623225,822029,371384873,
3529023,799348,373573941,
3530318,823250,373917893,
4637284,829022,373206975,
3626407,833758,375207380,
3557291,842860,376180998,
3663999,821770,375910935,
3587816,841713,377633914,
3574052,839123,378960327,
4449139,844266,381108066,
3695708,935989,381919698,
3732042,810892,383430815,
3764454,845117,384810360,
3686384,808672,385871483,
3861135,813963,389401320,
3625371,820956,387331725,
4260069,834868,388081160,
3753058,815036,391495631,
3658412,813667,391920465,
3796163,847559,389926128,
3844966,831686,392427513,
3836752,815998,394817010,
3817327,820327,395844648,
3861838,822251,397325573,
3821064,795648,398573065,
3577789,822103,399399497,
3855437,840788,400356095,
4926328,843970,400330972,
3843449,819587,403667003,
3854475,819661,404370891,
3930732,840751,406332890,
4845779,830983,405788990,
3646535,826691,408617048,
3848999,851814,408615605,
3558586,843341,412903830,
3679021,839530,413309203,
3750875,827838,414382758,
3987786,822658,411682313,
4026377,821067,415846219,
3961590,842453,416794048,
4042731,826617,417274345,
4016091,833388,417752200,
4068816,839234,420231348,
3987379,817330,421097740,
5234057,849705,421065994,
3958667,831575,422743574,
3816476,805749,423332059,
4059196,830428,425585359,
3895360,823953,425231232,
4229877,845598,425516132,
4062674,814000,428646295,
4058567,840677,430003492,
4135453,817256,431593604,
4180186,823435,431147939,
4198575,845006,433090698,
3994113,813223,433715850,
4189547,834942,435810346,
3985344,840677,434653208,
4217778,842786,435692353,
4209934,821696,439333005,
4136822,814481,439815337,
4123169,840381,442234397,
4211636,807266,441955380,
4261734,838309,442611908,
4143667,812298,444218966,
4155322,824508,445613533,
4375435,820290,446534426,
4208306,807784,447315718,
4236796,819069,449839710,
4271576,831020,448525507,
4229507,827875,450617413,
4305061,813815,469715000,
4217926,857105,472884198,
4101598,843563,474682398,
4304099,837495,469950468,
4323450,848447,464534075,
4355640,830058,464139729,
4301028,841343,462591020,
4285932,820771,457151169,
4449435,837606,462634125,
4317382,813852,465516758,
4031113,811521,466603855,
4456280,850075,467846315,
4434931,827098,465400985,
4275609,851814,465843764,
4179113,807784,467546985,
4342135,834905,477190184,
4403851,810115,472019249,
4460942,826321,473099612,
4405997,828504,474097798,
4427975,825692,473659385,
4444366,830169,475588269,
4199204,840233,476889115,
4584115,817811,475968666,
4370625,829318,478344510,
4493613,849150,481289858,
4501938,855218,485245972,
4517256,815702,482343914,
4514074,830428,482906203,
4564949,818810,484845040,
4527653,807192,485801453,
4583634,833943,487178186,
4551555,819624,488451430,
4555588,832685,489478661,
4568797,814370,488505968,
4567132,830428,491863496,
4585484,822584,492888655,
4412028,814407,490823611,
4475705,833610,494790196,
4591589,808857,495293396,
4618562,829688,503578214,
4432933,834350,497667760,
4751910,834091,500553242,
4493354,809079,501660652,
4646941,844229,501124300,
4783397,845672,502810649,
4713171,834424,504187678,
4665219,857512,505161185,
4730931,822991,506616876,
4678761,833684,507862888,
4785802,835608,508621388,
4715354,812742,511304517,
4840932,838457,511271143,
4723827,826691,511920271,
4878376,832611,514177197,
4624149,823287,517074334,
4766562,839567,513387506,
4899429,820956,515527105,
4703144,813334,517930144,
4822321,831279,519329003,
4866684,821141,519416064,
4877895,840011,522103152,
4850774,826654,522796717,
4919150,836755,523595029,
4870865,818662,524862205,
5736813,818440,524746617,
4895544,828171,526851177,
4810703,797313,528657776,
4937909,827764,529242894,
4956261,812002,531349600,
5039030,854330,532356925,
4962181,841639,532928723,
5026968,839419,534267531,
4955521,834498,532466926,
4892769,841565,536987253,
5756793,822140,536819828,
4711950,833166,538743421,
4920408,838901,540964494,
5984528,911865,540516017,
4948787,829207,539683850,
4938538,870388,542946288,
4997923,813408,544938479,
4937095,864653,546719326,
5112993,848447,550366157,
4915117,859806,551684356,
5125721,811891,549702303,
5041398,844007,549861958,
5831163,834942,549667893,
4910973,817404,554545270,
4949601,866281,554791061,
5147551,822695,555147852,
5109034,916527,557106817,
4992965,809079,557697152,
5129273,815998,558668365,
5137228,825211,559721755,
5234242,825581,558511041,
5178113,865282,562135413,
5073403,833314,562854027,
5217407,831908,563820319,
5309574,831538,564218476,
5181406,826691,565901088,
5301656,844451,566613301,
5206270,840899,574165667,
5324596,864579,571477284,
5960626,838568,571830153,
5228840,832833,572449903,
5288891,820808,573706571,
5243381,819180,575309744,
5478442,847411,573325286,
5361300,824582,576327207,
5261659,877011,578041676,
5267209,819143,577142465,
5039215,867206,580028576,
5250855,843563,583534955,
5218332,854330,585829991,
5435263,838420,585686172,
5521399,812187,585336966,
5396302,861101,584651282,
5268578,829651,586791325,
7099634,849150,586384436,
5358303,812816,589913385,
5343947,835312,588223077,
