Particle Destroy,Particle Create,Particle Update,
1007547,924852,1170199,
320975,1000665,1874938,
305176,903392,2828280,
255559,861804,3761901,
294816,894512,4651640,
296888,862100,5587999,
306582,832870,6510372,
297221,917822,7452873,
335442,855699,8394819,
318903,923150,9281413,
305583,856106,10214960,
336515,895585,11146250,
317312,850926,13102958,
350982,840714,12954514,
348318,924519,13925172,
344803,839308,15354445,
717296,896436,15753490,
354127,859029,16761444,
365708,862692,17980853,
439744,878602,19165445,
389869,923853,19460668,
398083,891256,20386186,
418100,856957,21292575,
434121,867095,22147756,
441410,855810,24938148,
551462,848632,24007006,
483183,913345,24973853,
532393,857623,25845795,
497946,898878,27256161,
551558,875346,28186970,
474488,859436,28516455,
479335,881192,29448337,
508935,846560,30264668,
492988,882783,31283648,
859991,863395,32834318,
606948,896621,33204688,
639434,866096,33966962,
562400,836681,34819072,
578199,904206,35770194,
554001,849113,36638843,
558589,885151,37499426,
567543,877085,38244051,
607133,837458,39351720,
628001,907129,40111626,
628186,852665,40915007,
611092,885706,41922554,
629074,861101,42797604,
630221,843748,43682459,
655936,920227,44651822,
643763,848595,45490686,
650682,887630,46437405,
812964,868575,47170301,
773485,880452,48519617,
865245,931438,49127453,
806748,856143,49954440,
789210,893772,50761151,
749250,866429,51640234,
716727,888333,52443800,
715099,877418,53502740,
786953,861989,54344897,
755614,907314,55135106,
739963,861471,56065619,
797757,875864,56901375,
798978,907573,57611331,
784992,850556,59668938,
938764,912753,59567965,
933066,868649,60438834,
807821,902097,61369939,
831575,905649,62050332,
795019,839900,62683069,
794538,882931,63944436,
945535,869722,64355802,
862470,845228,65146825,
825914,886705,66051364,
828504,841713,66866733,
838790,885743,67789624,
842934,857697,68794877,
973914,850519,69899179,
999851,905834,70275876,
897805,846301,71075520,
907240,879860,71941172,
900802,884929,72844934,
922484,846745,75406962,
1043622,910459,74582491,
938801,858844,75298071,
936063,877048,76038626,
931475,855958,77764380,
1069966,873200,78200647,
1048247,884004,78692525,
974617,878232,79856841,
997409,829244,80580154,
1062381,899877,81154283,
982313,839678,82007096,
1013245,881821,82817359,
1014466,859806,83255476,
1130683,848521,84195128,
1148332,904576,85147582,
1146667,852295,85572046,
1027453,875827,86550770,
1055055,851888,87648745,
1050208,854589,88020854,
1080104,884633,88833559,
1145557,855218,91361547,
1103932,889739,91400730,
1231952,900099,91867633,
1399229,871646,93131590,
1211676,882228,96919058,
1407480,889665,95149015,
1169829,855699,95717076,
1139563,898323,96673933,
1157841,863321,97902481,
1310947,840973,97900742,
1256335,907277,99089404,
1292521,854848,99475758,
1276648,888851,100094139,
1193028,869759,100890379,
1201982,850778,101782005,
1207976,962037,102758028,
1190179,862359,102486744,
1184777,817737,104115965,
1362858,885928,105865806,
1461981,865578,107504388,
1469936,1105412,108051359,
1421465,988344,109010991,
1452657,856143,109029787,
1411365,893328,109847117,
1405926,869278,112280755,
1477114,857808,111457986,
1339585,908276,112203129,
1268064,861767,113341841,
1288192,844377,113649274,
1392347,903022,114752836,
1354200,859917,115232800,
1356790,888703,116272019,
1482849,870906,116895469,
1329965,865837,117088646,
1415287,898915,117725305,
1430050,874865,118285004,
1348835,822029,118102002,
1450178,898434,118504821,
1602877,868797,120962324,
1475227,831094,122567088,
1420689,923076,122138517,
1446663,855514,122578558,
1418728,891293,122871339,
1494467,898434,122692185,
1592554,853923,124705318,
1489953,855699,124153796,
1513411,871905,126887948,
1445553,835460,125863714,
1429791,894179,126486424,
1437043,838605,129697950,
1687163,864912,129035909,
1641283,902726,130356846,
1556035,855588,131084932,
1629110,825174,131672085,
1555110,895474,132357769,
1478187,837680,131646962,
1693305,884892,134492077,
1747954,895400,134710081,
1679171,860361,135156560,
1584710,880193,135024803,
1505789,1271357,134817270,
1562214,1254263,137767354,
1801382,909756,138576063,
1803121,883116,139518564,
1699151,834239,140059948,
1572167,900765,140611433,
1661707,852369,141607029,
1773891,831501,143208389,
1721832,888888,143194662,
